Manufacturer,Model,Device Codename,Chipset Processor,DPI,Pixel
 Acer/acer, B1-730HD, vespa, redhookbay, 213dpi, 1280x736
 Acer/acer, T07, acer_t07, mt6735, 320dpi, 720x1184
 Acer/acer, A1-734, acer_barricade, mt6735, 213dpi, 720x1216
 Acer/acer, B1-733, acer_barricade_3G, mt6580, 213dpi, 720x1216
 Acer/acer, A1-810, mango, mt8389, 160dpi, 768x976
 Acer/acer, B1-750, vespa2, vespa2, 213dpi, 800x1216
 Acer/acer, A3-A20, acer_harley, mt8127, 160dpi, 800x1232
 Acer/acer, B3-A40, acer_asgard, mt8167, 160dpi, 800x1232
 Asus, ASUS_X005, ASUS_X005, mt6735, 480dpi, 1080x1776
 Asus, ASUS_X550, ASUS_X550, qcom, 480dpi, 1080x1776
 Asus, K00G, K00G, redhookbay, 480dpi, 1080x1800
 Asus, ASUS_I001DE, ASUS_I001_1, qcom, 240dpi, 1080x1920
 Asus, ASUS_A006, ASUS_A006, qcom, 420dpi, 1080x1920
 Asus, ASUS_X00DD, ASUS_X00DD, qcom, 480dpi, 1080x1920
 Asus, ASUS_Z00AD, Z00A, mofd_v1, 480dpi, 1080x1920
 Asus, ASUS_Z00AD, Z00A_1, mofd_v1, 480dpi, 1080x1920
 Asus, ASUS_Z00AD, Z00A_3, mofd_v1, 480dpi, 1080x1920
 Asus, ASUS_Z00UD, ASUS_Z00U_1, qcom, 480dpi, 1080x1920
 Asus, ASUS_Z00XS, Z00X_2, mofd_v1, 480dpi, 1080x1920
 Asus, ASUS_Z011D, ASUS_Z011, qcom, 480dpi, 1080x1920
 Asus, ASUS_Z012DE, ASUS_Z012D, qcom, 480dpi, 1080x1920
 Asus, ASUS_Z012S, ASUS_Z012D, qcom, 480dpi, 1080x1920
 Asus, ASUS_Z017D, ASUS_Z017D_1, qcom, 480dpi, 1080x1920
 Asus, ASUS_Z01BD, Z01B_1, qcom, 480dpi, 1080x1920
 Asus, ASUS_Z01HDA, ASUS_Z01H_1, qcom, 480dpi, 1080x1920
 Asus, ASUS_Z01KD, ASUS_Z01KD_2, qcom, 480dpi, 1080x1920
 Asus, ASUS_Z01KD, ASUS_Z01KD_3, qcom, 480dpi, 1080x1920
 Asus, ASUS_Z01KD, ASUS_Z01KDA, qcom, 480dpi, 1080x1920
 Asus, ASUS_Z01KDA, ASUS_Z01KD_1, qcom, 480dpi, 1080x1920
 Asus, ASUS_Z01MD, ASUS_Z01M_1, qcom, 480dpi, 1080x1920
 Asus, ASUS_Z01MDA, ASUS_Z01M_1, qcom, 480dpi, 1080x1920
 Asus, ZD552KL, ASUS_Z01M_1, qcom, 480dpi, 1080x1920
 Asus, ZE520KL, ASUS_Z017D_1, qcom, 480dpi, 1080x1920
 Asus, ZE553KL, ASUS_Z01H_1, qcom, 480dpi, 1080x1920
 Asus, ZE554KL, ASUS_Z01KDA, qcom, 480dpi, 1080x1920
 Asus, ASUS_X00DDA, ASUS_X00DD, qcom, 540dpi, 1080x1920
 Asus, ASUS_Z012D, ASUS_Z012D, qcom, 540dpi, 1080x1920
 Asus, ASUS_Z012DC, ASUS_Z012D, qcom, 540dpi, 1080x1920
 Asus, ASUS_Z017DA, ASUS_Z017D_1, qcom, 540dpi, 1080x1920
 Asus, ASUS_Z017DC, ASUS_Z017D_1, qcom, 540dpi, 1080x1920
 Asus, ZC551KL, Z01B_1, qcom, 540dpi, 1080x1920
 Asus, ZC553KL, ASUS_X00DD, qcom, 540dpi, 1080x1920
 Asus, ZE552KL, ASUS_Z012D, qcom, 540dpi, 1080x1920
 Asus, ASUS_X00TD, ASUS_X00T_2, qcom, 540dpi, 1080x1998
 Asus, ASUS_X017DA, ASUS_X017D_2, qcom, 480dpi, 1080x2004
 Asus, ZS620KL, ASUS_Z01R_1, qcom, 500dpi, 1080x2009
 Asus, ASUS_X00TD, ASUS_X00T_4, qcom, 540dpi, 1080x2011
 Asus, ASUS_X00TDB, ASUS_X00T_2, qcom, 540dpi, 1080x2011
 Asus, ZB602KL, ASUS_X00T_6, qcom, 540dpi, 1080x2011
 Asus, ASUS_X00QD, ASUS_X00QD, qcom, 540dpi, 1080x2014
 Asus, ZE620KL, ASUS_X00QD, qcom, 540dpi, 1080x2014
 Asus, ASUS_X00TDB, ASUS_X00T_4, qcom, 480dpi, 1080x2016
 Asus, ZC600KL, ASUS_X017D_2, qcom, 540dpi, 1080x2018
 Asus, ASUS_Z01RD, ASUS_Z01R_1, qcom, 460dpi, 1080x2021
 Asus, ASUS_X00TD, ASUS_X00T_3, qcom, 480dpi, 1080x2028
 Asus, ASUS_X00TD, ASUS_X00T_6, qcom, 480dpi, 1080x2028
 Asus, ASUS_X017D, ASUS_X017D_1, qcom, 480dpi, 1080x2028
 Asus, ASUS_X00QDA, ASUS_X00QD, qcom, 480dpi, 1080x2030
 Asus, ASUS_A001D, ASUS_A001D_1, qcom, 540dpi, 1080x2037
 Asus, ASUS_X00TD, ASUS_X00TD, qcom, 408dpi, 1080x2038
 Asus, ASUS_I01WD, ASUS_X00T_2, qcom, 374dpi, 1080x2048
 Asus, ZB631KL, ASUS_X01BD_1, qcom, 540dpi, 1080x2051
 Asus, ASUS_A001D, ASUS_A001D_2, qcom, 480dpi, 1080x2055
 Asus, ASUS_X01BDA, ASUS_X01BD_1, qcom, 480dpi, 1080x2066
 Asus, ASUS_X01BDA, ASUS_X01BD_2, qcom, 480dpi, 1080x2066
 Asus, ASUS_X01BDA, ASUS_X01BDA, qcom, 480dpi, 1080x2067
 Asus, ASUS_I01WD, ASUS_I01WD, qcom, 460dpi, 1080x2202
 Asus, ASUS_I001DD, ASUS_I001_1, qcom, 420dpi, 1080x2214
 Asus, ASUS_I003DD, ASUS_I003_1, qcom, 420dpi, 1080x2214
 Asus, ZS630KL, ASUS_I01WD, qcom, 420dpi, 1080x2214
 Asus, ASUS_AI2202, ASUS_AI2202, qcom, 472dpi, 1080x2215
 Asus, ASUS_I006D, ASUS_I006D, qcom, 440dpi, 1080x2220
 Asus, ZS590KS, ASUS_I006D, qcom, 440dpi, 1080x2242
 Asus, ASUS_I002D, ASUS_I002D, qcom, 420dpi, 1080x2274
 Asus, ZS670KS, ASUS_I002D, qcom, 420dpi, 1080x2274
 Asus, ASUS_I005DA, ASUS_I005_1, qcom, 420dpi, 1080x2322
 Asus, ZS672KS, ASUS_I004D, qcom, 420dpi, 1080x2358
 Asus, K00R, K00R, mofd_v1, 320dpi, 1200x1824
 Asus, K01H, K01H, mofd_v1, 320dpi, 1200x1824
